City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Pevek,RU,2022-10-14 14:41:26,69.7008,170.3133,14.36,89,94,9.35
1,Saint-Philippe,RE,2022-10-14 14:41:26,-21.3585,55.7679,72.99,73,34,11.99
2,Port Alfred,ZA,2022-10-14 14:41:27,-33.5906,26.891,68.18,88,99,10.6
3,Ushuaia,AR,2022-10-14 14:38:42,-54.8,-68.3,51.46,58,20,17.27
4,Riyadh,SA,2022-10-14 14:41:03,24.6877,46.7219,91.54,15,0,6.38
5,Tuktoyaktuk,CA,2022-10-14 14:41:27,69.4541,-133.0374,26.6,80,75,18.41
6,Butaritari,KI,2022-10-14 14:41:28,3.0707,172.7902,80.35,79,100,12.12
7,Dalvik,IS,2022-10-14 14:41:28,65.9702,-18.5286,35.53,97,100,18.68
8,Mataura,NZ,2022-10-14 14:41:29,-46.1927,168.8643,40.05,98,3,1.79
9,Kapaa,US,2022-10-14 14:41:29,22.0752,-159.319,75.18,94,75,4.61
10,Rikitea,PF,2022-10-14 14:41:29,-23.1203,-134.9692,70.29,79,81,1.52
11,Talnakh,RU,2022-10-14 14:41:30,69.4865,88.3972,33.21,99,100,9.89
12,Saskylakh,RU,2022-10-14 14:41:30,71.9167,114.0833,14.88,88,100,9.28
13,Dikson,RU,2022-10-14 14:41:30,73.5069,80.5464,33.48,99,100,26.55
14,Sao Jose Do Belmonte,BR,2022-10-14 14:41:31,-7.8614,-38.7597,90.95,29,98,9.8
15,Kruisfontein,ZA,2022-10-14 14:41:31,-34.0033,24.7314,66.88,66,75,11.39
16,Bredasdorp,ZA,2022-10-14 14:41:32,-34.5322,20.0403,58.62,81,100,12.15
17,Hobart,AU,2022-10-14 14:37:07,-42.8794,147.3294,51.66,83,75,6.91
18,Mar Del Plata,AR,2022-10-14 14:41:32,-38.0023,-57.5575,53.94,56,0,6.91
19,Hilo,US,2022-10-14 14:41:20,19.7297,-155.09,81.28,88,0,3.44
